radius,n_rows,total_effect,total_effect_pvalue,direct_effect,direct_effect_pvalue,indirect_effect,proportion_mediated,path_a_coef,path_a_pvalue,path_b_coef,path_b_pvalue,rmse,r_squared,refutation_placebo,refutation_subset
1,1177,6.472012998112305e-06,0.020738443108931432,-3.3862573832985242e-06,0.25121320037392825,9.85827038141074e-06,152.32154793703455,0.025322365211919252,1.504446891540041e-44,0.0003893108048520857,4.9734033269359824e-17,0.8969117008143237,0.09183137870902558,2.846107549103749e-07,7.076226772306793e-06
2,4778,2.3367064351897344e-05,3.1002893522625322e-30,3.7312924438550094e-06,0.10309772425462078,1.9635771908042403e-05,84.0318304958493,0.048799994828723,3.19337528301724e-310,0.000402372417803722,1.8583742261749054e-62,0.8219179054090027,0.19356981004678353,1.3596631906365175e-07,2.4140234226583956e-05
3,11649,3.0311556628888264e-05,8.457875128509461e-100,1.1360891449750328e-05,9.7451631993593e-12,1.8950665179138787e-05,62.519604028115005,0.05811780973184626,0.0,0.0003260732857376518,6.750535112771516e-93,0.8292241545231496,0.17972119376275564,-1.598237580280326e-08,3.0407826248906034e-05
4,20292,3.137233595137305e-05,2.6060965016408106e-183,1.6260909224268344e-05,1.445965344012325e-37,1.5111426727104861e-05,48.16799982802521,0.06376990604873428,0.0,0.00023696799420648974,2.555573265108096e-105,0.8091920674533453,0.18939138046656112,-1.0308437401462812e-08,3.149013252861987e-05
5,30460,2.456106075262387e-05,1.264445093088871e-200,8.987680750480035e-06,6.400743828367678e-22,1.5573380002142903e-05,63.40678914073038,0.05539251628135543,0.0,0.0002811459209226202,3.351524476097591e-217,0.8280004727939525,0.17030592453883142,-9.836514067718128e-09,2.4378640330364744e-05
6,42185,1.4173408252550592e-05,7.792329547353745e-146,2.929012819490082e-06,7.391425115145755e-07,1.1244395433062198e-05,79.33444964473311,0.035072473330640334,0.0,0.00032060457576109315,0.0,0.8210773912294489,0.17119169589098782,7.444031176584431e-08,1.3997696943797155e-05
7,55955,1.4611298968963387e-05,1.6157058597694123e-202,3.173205238163272e-06,9.109122273394566e-10,1.1438093730799441e-05,78.28252474400588,0.03620273970259341,0.0,0.00031594552856396293,0.0,0.8282656624396366,0.1708196449189372,3.676573310684716e-08,1.4853219768511395e-05
8,72116,7.606968952731327e-06,3.130357038317916e-116,3.8767673398082095e-07,0.2579551005459617,7.219292218749005e-06,94.90366351708161,0.02244840583420903,0.0,0.0003215948727970499,0.0,0.844311594253697,0.1528097076207351,1.0790095943402633e-08,7.535525295714329e-06
9,90728,7.968953384132061e-06,1.056361960015728e-157,3.4204715237149924e-07,0.2664764487423455,7.626906231760799e-06,95.70775312787808,0.022786903595916334,0.0,0.0003347056873987752,0.0,0.8399602236759357,0.15955933951849044,8.789445453682988e-09,7.944751550514883e-06
10,110014,9.095228435283498e-06,2.855320696189372e-234,7.399198321463616e-07,0.010342752168007775,8.3553086031343e-06,91.864747131817,0.024219243691602995,0.0,0.0003449863550458907,0.0,0.8416125514157191,0.15575911806283083,-6.5521654146749595e-09,9.296966549539043e-06
11,130215,8.176125748532226e-06,9.623166278801117e-248,2.519837234164961e-07,0.31307701877276556,7.924142025113359e-06,96.91805469767752,0.021877037170045785,0.0,0.0003622127605086834,0.0,0.8467773100616588,0.15452780711950997,7.606459704323499e-09,8.184458558793129e-06
12,150203,6.199286100226149e-06,1.5763912334544673e-203,-4.069327198370733e-07,0.04861098620130586,6.6062188200628164e-06,106.56418679921585,0.01782177402011917,0.0,0.00037068244792044796,0.0,0.8504987323990105,0.15591224678404836,6.667460470399788e-09,6.234334879389181e-06
13,170893,4.72530474205425e-06,3.6663910009110594e-170,-4.844110783501303e-07,0.004487186685075385,5.209715820402637e-06,110.25142514168931,0.014293913256246515,0.0,0.0003644709273806432,0.0,0.8401850811869437,0.16216503092180012,1.3055735683664693e-08,4.726145379396751e-06
14,192249,4.7268986996791485e-06,2.9584681902025924e-199,-2.738862868706028e-07,0.08118052282455088,5.0007849865450835e-06,105.79420682073271,0.013824571335252153,0.0,0.00036173164905252896,0.0,0.8397484707470552,0.16991042795418798,-2.1680751016717183e-09,4.7720129205086616e-06
15,215258,4.464068987696308e-06,2.695002602569622e-215,-3.44807888040473e-07,0.015269732613699745,4.8088768757409276e-06,107.72407167082241,0.01312065382959687,0.0,0.00036651198470714317,0.0,0.8420852448259859,0.1711339707211974,-2.7615814617298895e-08,4.499301071121398e-06
16,238280,4.115152019421279e-06,1.3829291206993088e-224,-3.369715655551682e-07,0.008329096323803931,4.45212358497913e-06,108.1885569225032,0.012007123303047918,0.0,0.0003707901945047064,0.0,0.8333156677506698,0.17119105209647179,1.6774524587148677e-08,4.14299302122112e-06
17,263078,4.104770436213598e-06,1.2757793042914574e-256,-3.573316852282924e-07,0.0026051585828628055,4.462102121444802e-06,108.70527818264108,0.011603569193608332,0.0,0.0003845456554783756,0.0,0.8285443349310421,0.17796713293830446,6.3900115976345265e-09,4.0658261236092845e-06
18,290036,3.9012460326819286e-06,1.1433979285983251e-275,-4.3764453937443763e-07,5.292524096481934e-05,4.338890572052583e-06,111.21807073187317,0.010894266442085935,0.0,0.00039827285252459933,0.0,0.8331809499928783,0.17118691833564614,4.355382707821321e-09,3.909711208252009e-06
19,316778,4.086974839689653e-06,0.0,-3.980477688075747e-07,0.00012195956898662014,4.485022608494436e-06,109.7394230309235,0.010975825456441773,0.0,0.00040862736258821895,0.0,0.8226580150850171,0.1841682075933676,-1.3671427276928938e-08,4.089547745398381e-06
20,342463,4.170445532008166e-06,0.0,-4.158990443545656e-07,2.7078409006313624e-05,4.58634457636209e-06,109.97253269853064,0.011006830686092836,0.0,0.00041668166860756294,0.0,0.823907739612694,0.18607171283560664,6.371660270509949e-09,4.168742430241678e-06
