radius,n_events,avg_well_count,total_effect,total_effect_pvalue,direct_effect,direct_effect_pvalue,indirect_effect,proportion_mediated,path_a_coef,path_a_pvalue,path_b_coef,path_b_pvalue,rmse,r_squared,refutation_placebo,refutation_subset
1,1058,1.112476370510397,5.720238904217315e-06,0.016456792624761723,-9.059125048698172e-07,0.7139639290555511,6.626151409086827e-06,115.83696974966583,0.018589557471638884,3.1298232945313783e-31,0.00035644481689227944,2.5729868120743747e-14,0.8120442129868236,0.17876961439195627,1.5547531068138554e-07,6.8567278343345525e-06
2,3162,1.5110689437065148,1.7530466793590838e-05,1.7790455067489693e-22,3.1154556602878986e-06,0.10384329468049712,1.4415011133302915e-05,82.22833597661565,0.02913714076444427,1.5728995925578326e-157,0.0004947297763304694,3.397198585273107e-60,0.7786614873798351,0.293414688975579,-2.0075757577453502e-07,1.8217736025720744e-05
3,4921,2.3672017882544196,2.1315570600649648e-05,1.5976007511157197e-71,1.1260353922707645e-05,1.071551259218005e-17,1.0055216677942537e-05,47.17310583107767,0.026050759995345053,7.527420262058494e-291,0.0003859855405270049,9.499197153589754e-55,0.743546084660688,0.3619563385749782,-1.0469002569957198e-07,2.149432497235093e-05
4,6192,3.2771317829457365,1.7235959992195618e-05,2.1959651020279454e-97,9.765244230846686e-06,1.036273631385873e-27,7.470715761348922e-06,43.34377525088035,0.019786722954727925,0.0,0.000377562054031986,1.2557335669338163e-70,0.656047025140994,0.4966317736934802,9.59697497471268e-09,1.7213469583980956e-05
5,7102,4.288932695015489,1.154275006783149e-05,1.2309168202768289e-88,5.014043938920349e-06,3.1559043983349985e-16,6.5287061289110645e-06,56.561097576789145,0.013340378902166342,0.0,0.000489394355047207,5.202676880742586e-122,0.65833875593268,0.5085110384980173,-3.0618236118717947e-08,1.1551064055195237e-05
6,7943,5.310965630114566,5.864802477035206e-06,2.2927694848827037e-53,1.619531634704199e-06,3.0423719239737775e-05,4.245270842330997e-06,72.38557238635394,0.0075425925332705795,7.36957982605641e-264,0.0005628397429139905,1.3582944415348696e-177,0.6475177307340778,0.5212884070492501,-2.4205434335788924e-08,5.931530131048079e-06
7,8653,6.466543395354212,4.950997487795417e-06,7.455566065528101e-59,1.23540481568226e-06,9.186142648935979e-05,3.7155926721130096e-06,75.04735523037986,0.00649575055599461,0.0,0.0005720035952864709,1.6949972353894803e-182,0.6331724674344315,0.5421849668624872,3.890353007407476e-08,5.057874345237856e-06
8,9231,7.812371357382732,2.1420946658848663e-06,1.7627541092101484e-26,1.657169155683914e-07,0.41230112683095393,1.9763777503164255e-06,92.26379122231809,0.0034220121703518623,2.6619751095056753e-223,0.0005775484282141545,7.973961601456234e-192,0.6313081973045265,0.5266922217545039,3.024394902517713e-08,2.145993857450845e-06
9,9658,9.394077448747153,1.8478357567606875e-06,8.050486770235113e-27,1.0585637035289556e-07,0.543348388349431,1.7419793864078031e-06,94.27133228883645,0.003036032460642888,3.4598576504259867e-247,0.0005737683667713271,1.3492869350513383e-190,0.62826646621495,0.5029214088777301,-1.0764449459577109e-08,1.8532842516982838e-06
10,9928,11.081184528605963,1.8352208428205704e-06,2.3287702037354147e-31,1.1442953508775852e-07,0.4749580216362027,1.7207913077328773e-06,93.76480844061115,0.002883956825608011,1.2150619802171368e-283,0.0005966772083594181,5.789090218750452e-198,0.6451206739272763,0.5023609719764668,4.657333827484678e-09,1.8345965071198123e-06
11,10079,12.919436452028972,1.632718405310379e-06,2.047716661637949e-30,9.195197246291906e-08,0.5214944896436475,1.5407664328474829e-06,94.36816709091877,0.0024380434289893687,7.7667752671940095e-261,0.0006319684114430111,2.5895804909843576e-216,0.6674688557725206,0.4657756009710462,-7.465881572965571e-09,1.6498378666907064e-06
12,10179,14.756164652716377,1.2758679227172464e-06,1.0928257420634541e-23,-5.123084253695039e-08,0.6839965535053905,1.327098765254219e-06,104.01537193817563,0.001950288965732461,1.4386828660524688e-215,0.0006804626332671716,3.0337204621769676e-250,0.6646963207072832,0.45980853315139136,3.605019261998521e-09,1.2968091904652645e-06
13,10286,16.614135718452264,9.933904317118668e-07,3.154471708826543e-20,-4.918905856863686e-08,0.6375206360832104,1.0425794902804809e-06,104.95163402005481,0.0014155195426522567,1.5106506283378801e-161,0.0007365348614876777,1.3681549457398402e-296,0.6773739134719465,0.4665857017424966,1.3602060779938085e-08,1.0109723994000675e-06
14,10380,18.521098265895954,1.0698381176116459e-06,4.791972555804237e-26,7.183337998795904e-09,0.9408857263994139,1.062654779612871e-06,99.32855841640685,0.0012980651625687884,2.778035483511217e-162,0.0008186451730280973,0.0,0.6569556109420378,0.46435938883744876,1.0731001741648427e-08,1.0670051915684375e-06
15,10429,20.64032984945824,1.007952161158464e-06,4.19680171550644e-28,1.767549959114315e-08,0.83833559723374,9.902766615671072e-07,98.24639499050811,0.001116958333675266,3.688780177084055e-155,0.0008865833502568332,0.0,0.6712799639583205,0.4518113570861365,-9.073296589612312e-09,1.0198283959295119e-06
16,10488,22.719298245614034,9.294096004796416e-07,1.9209552458866062e-28,2.4427505784562153e-08,0.7564891424841969,9.049820946950556e-07,97.37171794094019,0.0009689852121378147,1.7869892016652429e-146,0.0009339483031928291,0.0,0.6778456846693045,0.453271167664106,-8.860110003450217e-09,9.365942661632154e-07
17,10527,24.990785598936068,1.000895666039489e-06,9.405831291533334e-37,8.157762346259611e-08,0.2702731650124795,9.193180425769356e-07,91.84953774599171,0.00093563371492234,1.3476027838735512e-163,0.00098256190207216,0.0,0.6987375079555124,0.4059330081746947,8.087992497962659e-10,1.0149239329138027e-06
